month,level_1,level_2,value
1962-09,Number Of Air Passenger Departures,North East Asia,na
1962-09,Number Of Air Passenger Departures,South Asia,na
1962-09,Number Of Air Passenger Departures,Middle East,na
1962-09,Number Of Air Passenger Departures,Oceania,na
1962-09,Number Of Air Passenger Departures,Europe,na
1962-09,Number Of Air Passenger Departures,North America,na
1962-09,Number Of Air Passenger Departures,Other Regions,na
1962-10,Number Of Air Passenger Departures,South East Asia,na
1962-10,Number Of Air Passenger Departures,North East Asia,na
1962-10,Number Of Air Passenger Departures,South Asia,na
1962-10,Number Of Air Passenger Departures,Middle East,na
1962-10,Number Of Air Passenger Departures,Oceania,na
1962-10,Number Of Air Passenger Departures,Europe,na
1962-10,Number Of Air Passenger Departures,North America,na
1962-10,Number Of Air Passenger Departures,Other Regions,na
1962-11,Number Of Air Passenger Departures,South East Asia,na
1962-11,Number Of Air Passenger Departures,North East Asia,na
1962-11,Number Of Air Passenger Departures,South Asia,na
1962-11,Number Of Air Passenger Departures,Middle East,na
1962-11,Number Of Air Passenger Departures,Oceania,na
1962-11,Number Of Air Passenger Departures,Europe,na
1962-11,Number Of Air Passenger Departures,North America,na
1962-11,Number Of Air Passenger Departures,Other Regions,na
1962-12,Number Of Air Passenger Departures,South East Asia,na
1962-12,Number Of Air Passenger Departures,North East Asia,na
1962-12,Number Of Air Passenger Departures,South Asia,na
1962-12,Number Of Air Passenger Departures,Middle East,na
1962-12,Number Of Air Passenger Departures,Oceania,na
1962-12,Number Of Air Passenger Departures,Europe,na
1962-12,Number Of Air Passenger Departures,North America,na
1962-12,Number Of Air Passenger Departures,Other Regions,na
1963-01,Number Of Air Passenger Departures,South East Asia,na
1963-01,Number Of Air Passenger Departures,North East Asia,na
1963-01,Number Of Air Passenger Departures,South Asia,na
1963-01,Number Of Air Passenger Departures,Middle East,na
1963-01,Number Of Air Passenger Departures,Oceania,na
1963-01,Number Of Air Passenger Departures,Europe,na
1963-01,Number Of Air Passenger Departures,North America,na
1963-01,Number Of Air Passenger Departures,Other Regions,na
1963-02,Number Of Air Passenger Departures,South East Asia,na
1963-02,Number Of Air Passenger Departures,North East Asia,na
1963-02,Number Of Air Passenger Departures,South Asia,na
1963-02,Number Of Air Passenger Departures,Middle East,na
1963-02,Number Of Air Passenger Departures,Oceania,na
1963-02,Number Of Air Passenger Departures,Europe,na
1963-02,Number Of Air Passenger Departures,North America,na
1963-02,Number Of Air Passenger Departures,Other Regions,na
1963-03,Number Of Air Passenger Departures,South East Asia,na
1963-03,Number Of Air Passenger Departures,North East Asia,na
1963-03,Number Of Air Passenger Departures,South Asia,na
1963-03,Number Of Air Passenger Departures,Middle East,na
1963-03,Number Of Air Passenger Departures,Oceania,na
1963-03,Number Of Air Passenger Departures,Europe,na
1963-03,Number Of Air Passenger Departures,North America,na
1963-03,Number Of Air Passenger Departures,Other Regions,na
1963-04,Number Of Air Passenger Departures,South East Asia,na
1963-04,Number Of Air Passenger Departures,North East Asia,na
1963-04,Number Of Air Passenger Departures,South Asia,na
1963-04,Number Of Air Passenger Departures,Middle East,na
1963-04,Number Of Air Passenger Departures,Oceania,na
1963-04,Number Of Air Passenger Departures,Europe,na
1963-04,Number Of Air Passenger Departures,North America,na
1963-04,Number Of Air Passenger Departures,Other Regions,na
1963-05,Number Of Air Passenger Departures,South East Asia,na
1963-05,Number Of Air Passenger Departures,North East Asia,na
1963-05,Number Of Air Passenger Departures,South Asia,na
1963-05,Number Of Air Passenger Departures,Middle East,na
1963-05,Number Of Air Passenger Departures,Oceania,na
1963-05,Number Of Air Passenger Departures,Europe,na
1963-05,Number Of Air Passenger Departures,North America,na
1963-05,Number Of Air Passenger Departures,Other Regions,na
1963-06,Number Of Air Passenger Departures,South East Asia,na
1963-06,Number Of Air Passenger Departures,North East Asia,na
1963-06,Number Of Air Passenger Departures,South Asia,na
1963-06,Number Of Air Passenger Departures,Middle East,na
1963-06,Number Of Air Passenger Departures,Oceania,na
1963-06,Number Of Air Passenger Departures,Europe,na
1963-06,Number Of Air Passenger Departures,North America,na
1963-06,Number Of Air Passenger Departures,Other Regions,na
1963-07,Number Of Air Passenger Departures,South East Asia,na
1963-07,Number Of Air Passenger Departures,North East Asia,na
1963-07,Number Of Air Passenger Departures,South Asia,na
1963-07,Number Of Air Passenger Departures,Middle East,na
1963-07,Number Of Air Passenger Departures,Oceania,na
1963-07,Number Of Air Passenger Departures,Europe,na
1963-07,Number Of Air Passenger Departures,North America,na
1963-07,Number Of Air Passenger Departures,Other Regions,na
1963-08,Number Of Air Passenger Departures,South East Asia,na
1963-08,Number Of Air Passenger Departures,North East Asia,na
1963-08,Number Of Air Passenger Departures,South Asia,na
1963-08,Number Of Air Passenger Departures,Middle East,na
1963-08,Number Of Air Passenger Departures,Oceania,na
1963-08,Number Of Air Passenger Departures,Europe,na
1963-08,Number Of Air Passenger Departures,North America,na
1963-08,Number Of Air Passenger Departures,Other Regions,na
1963-09,Number Of Air Passenger Departures,South East Asia,na
1963-09,Number Of Air Passenger Departures,North East Asia,na
1963-09,Number Of Air Passenger Departures,South Asia,na
1963-09,Number Of Air Passenger Departures,Middle East,na
1963-09,Number Of Air Passenger Departures,Oceania,na
1963-09,Number Of Air Passenger Departures,Europe,na
1963-09,Number Of Air Passenger Departures,North America,na
1963-09,Number Of Air Passenger Departures,Other Regions,na
1963-10,Number Of Air Passenger Departures,South East Asia,na
1963-10,Number Of Air Passenger Departures,North East Asia,na
1963-10,Number Of Air Passenger Departures,South Asia,na
1963-10,Number Of Air Passenger Departures,Middle East,na
1963-10,Number Of Air Passenger Departures,Oceania,na
1963-10,Number Of Air Passenger Departures,Europe,na
1963-10,Number Of Air Passenger Departures,North America,na
1963-10,Number Of Air Passenger Departures,Other Regions,na
1963-11,Number Of Air Passenger Departures,South East Asia,na
1963-11,Number Of Air Passenger Departures,North East Asia,na
1963-11,Number Of Air Passenger Departures,South Asia,na
1963-11,Number Of Air Passenger Departures,Middle East,na
1963-11,Number Of Air Passenger Departures,Oceania,na
1963-11,Number Of Air Passenger Departures,Europe,na
1963-11,Number Of Air Passenger Departures,North America,na
1963-11,Number Of Air Passenger Departures,Other Regions,na
1963-12,Number Of Air Passenger Departures,South East Asia,na
1963-12,Number Of Air Passenger Departures,North East Asia,na
1963-12,Number Of Air Passenger Departures,South Asia,na
1963-12,Number Of Air Passenger Departures,Middle East,na
1963-12,Number Of Air Passenger Departures,Oceania,na
1963-12,Number Of Air Passenger Departures,Europe,na
1963-12,Number Of Air Passenger Departures,North America,na
1963-12,Number Of Air Passenger Departures,Other Regions,na
1964-01,Number Of Air Passenger Departures,South East Asia,na
1964-01,Number Of Air Passenger Departures,North East Asia,na
1964-01,Number Of Air Passenger Departures,South Asia,na
1964-01,Number Of Air Passenger Departures,Middle East,na
1964-01,Number Of Air Passenger Departures,Oceania,na
1964-01,Number Of Air Passenger Departures,Europe,na
1964-01,Number Of Air Passenger Departures,North America,na
1964-01,Number Of Air Passenger Departures,Other Regions,na
1964-02,Number Of Air Passenger Departures,South East Asia,na
1964-02,Number Of Air Passenger Departures,North East Asia,na
1964-02,Number Of Air Passenger Departures,South Asia,na
1964-02,Number Of Air Passenger Departures,Middle East,na
1964-02,Number Of Air Passenger Departures,Oceania,na
1964-02,Number Of Air Passenger Departures,Europe,na
1964-02,Number Of Air Passenger Departures,North America,na
1964-02,Number Of Air Passenger Departures,Other Regions,na
1964-03,Number Of Air Passenger Departures,South East Asia,na
1964-03,Number Of Air Passenger Departures,North East Asia,na
