month,level_1,level_2,level_3,value
1962-05,Number Of Air Passenger Departures,North East Asia,Japan,205
1962-05,Number Of Air Passenger Departures,Europe,United Kingdom,557
1962-05,Number Of Air Passenger Departures,Europe,France,na
1962-05,Number Of Air Passenger Departures,Europe,Germany,na
1962-06,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1962-06,Number Of Air Passenger Departures,South East Asia,Indonesia,1628
1962-06,Number Of Air Passenger Departures,South East Asia,Thailand,1498
1962-06,Number Of Air Passenger Departures,South East Asia,Philippines,244
1962-06,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1962-06,Number Of Air Passenger Departures,North East Asia,China,na
1962-06,Number Of Air Passenger Departures,North East Asia,Hong Kong,1113
1962-06,Number Of Air Passenger Departures,North East Asia,Japan,147
1962-06,Number Of Air Passenger Departures,Europe,United Kingdom,550
1962-06,Number Of Air Passenger Departures,Europe,France,na
1962-06,Number Of Air Passenger Departures,Europe,Germany,na
1962-07,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1962-07,Number Of Air Passenger Departures,South East Asia,Indonesia,2017
1962-07,Number Of Air Passenger Departures,South East Asia,Thailand,1991
1962-07,Number Of Air Passenger Departures,South East Asia,Philippines,278
1962-07,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1962-07,Number Of Air Passenger Departures,North East Asia,China,na
1962-07,Number Of Air Passenger Departures,North East Asia,Hong Kong,1202
1962-07,Number Of Air Passenger Departures,North East Asia,Japan,151
1962-07,Number Of Air Passenger Departures,Europe,United Kingdom,503
1962-07,Number Of Air Passenger Departures,Europe,France,na
1962-07,Number Of Air Passenger Departures,Europe,Germany,na
1962-08,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1962-08,Number Of Air Passenger Departures,South East Asia,Indonesia,2464
1962-08,Number Of Air Passenger Departures,South East Asia,Thailand,1506
1962-08,Number Of Air Passenger Departures,South East Asia,Philippines,345
1962-08,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1962-08,Number Of Air Passenger Departures,North East Asia,China,na
1962-08,Number Of Air Passenger Departures,North East Asia,Hong Kong,1596
1962-08,Number Of Air Passenger Departures,North East Asia,Japan,171
1962-08,Number Of Air Passenger Departures,Europe,United Kingdom,624
1962-08,Number Of Air Passenger Departures,Europe,France,na
1962-08,Number Of Air Passenger Departures,Europe,Germany,na
1962-09,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1962-09,Number Of Air Passenger Departures,South East Asia,Indonesia,1901
1962-09,Number Of Air Passenger Departures,South East Asia,Thailand,1653
1962-09,Number Of Air Passenger Departures,South East Asia,Philippines,184
1962-09,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1962-09,Number Of Air Passenger Departures,North East Asia,China,na
1962-09,Number Of Air Passenger Departures,North East Asia,Hong Kong,1533
1962-09,Number Of Air Passenger Departures,North East Asia,Japan,181
1962-09,Number Of Air Passenger Departures,Europe,United Kingdom,1681
1962-09,Number Of Air Passenger Departures,Europe,France,na
1962-09,Number Of Air Passenger Departures,Europe,Germany,na
1962-10,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1962-10,Number Of Air Passenger Departures,South East Asia,Indonesia,1758
1962-10,Number Of Air Passenger Departures,South East Asia,Thailand,1859
1962-10,Number Of Air Passenger Departures,South East Asia,Philippines,320
1962-10,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1962-10,Number Of Air Passenger Departures,North East Asia,China,na
1962-10,Number Of Air Passenger Departures,North East Asia,Hong Kong,1593
1962-10,Number Of Air Passenger Departures,North East Asia,Japan,242
1962-10,Number Of Air Passenger Departures,Europe,United Kingdom,511
1962-10,Number Of Air Passenger Departures,Europe,France,na
1962-10,Number Of Air Passenger Departures,Europe,Germany,na
1962-11,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1962-11,Number Of Air Passenger Departures,South East Asia,Indonesia,1807
1962-11,Number Of Air Passenger Departures,South East Asia,Thailand,2062
1962-11,Number Of Air Passenger Departures,South East Asia,Philippines,411
1962-11,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1962-11,Number Of Air Passenger Departures,North East Asia,China,na
1962-11,Number Of Air Passenger Departures,North East Asia,Hong Kong,2000
1962-11,Number Of Air Passenger Departures,North East Asia,Japan,255
1962-11,Number Of Air Passenger Departures,Europe,United Kingdom,419
1962-11,Number Of Air Passenger Departures,Europe,France,na
1962-11,Number Of Air Passenger Departures,Europe,Germany,na
1962-12,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1962-12,Number Of Air Passenger Departures,South East Asia,Indonesia,1975
1962-12,Number Of Air Passenger Departures,South East Asia,Thailand,1732
1962-12,Number Of Air Passenger Departures,South East Asia,Philippines,232
1962-12,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1962-12,Number Of Air Passenger Departures,North East Asia,China,na
1962-12,Number Of Air Passenger Departures,North East Asia,Hong Kong,1670
1962-12,Number Of Air Passenger Departures,North East Asia,Japan,214
1962-12,Number Of Air Passenger Departures,Europe,United Kingdom,505
1962-12,Number Of Air Passenger Departures,Europe,France,na
1962-12,Number Of Air Passenger Departures,Europe,Germany,na
1963-01,Number Of Air Passenger Departures,South East Asia,Malaysia,na
