month,level_1,level_2,level_3,value
1987-08,Number Of Air Passenger Departures,Europe,France,3960
1987-08,Number Of Air Passenger Departures,Europe,Germany,5582
1987-09,Number Of Air Passenger Departures,South East Asia,Malaysia,72101
1987-09,Number Of Air Passenger Departures,South East Asia,Indonesia,45676
1987-09,Number Of Air Passenger Departures,South East Asia,Thailand,41778
1987-09,Number Of Air Passenger Departures,South East Asia,Philippines,8693
1987-09,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1987-09,Number Of Air Passenger Departures,North East Asia,China,3516
1987-09,Number Of Air Passenger Departures,North East Asia,Hong Kong,36776
1987-09,Number Of Air Passenger Departures,North East Asia,Japan,35333
1987-09,Number Of Air Passenger Departures,Europe,United Kingdom,18081
1987-09,Number Of Air Passenger Departures,Europe,France,3029
1987-09,Number Of Air Passenger Departures,Europe,Germany,4915
1987-10,Number Of Air Passenger Departures,South East Asia,Malaysia,72455
1987-10,Number Of Air Passenger Departures,South East Asia,Indonesia,49312
1987-10,Number Of Air Passenger Departures,South East Asia,Thailand,49747
1987-10,Number Of Air Passenger Departures,South East Asia,Philippines,9119
1987-10,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1987-10,Number Of Air Passenger Departures,North East Asia,China,3783
1987-10,Number Of Air Passenger Departures,North East Asia,Hong Kong,38595
1987-10,Number Of Air Passenger Departures,North East Asia,Japan,30687
1987-10,Number Of Air Passenger Departures,Europe,United Kingdom,13612
1987-10,Number Of Air Passenger Departures,Europe,France,3115
1987-10,Number Of Air Passenger Departures,Europe,Germany,5248
1987-11,Number Of Air Passenger Departures,South East Asia,Malaysia,78358
1987-11,Number Of Air Passenger Departures,South East Asia,Indonesia,54496
1987-11,Number Of Air Passenger Departures,South East Asia,Thailand,53526
1987-11,Number Of Air Passenger Departures,South East Asia,Philippines,10507
1987-11,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1987-11,Number Of Air Passenger Departures,North East Asia,China,2835
1987-11,Number Of Air Passenger Departures,North East Asia,Hong Kong,36093
1987-11,Number Of Air Passenger Departures,North East Asia,Japan,33071
1987-11,Number Of Air Passenger Departures,Europe,United Kingdom,13315
1987-11,Number Of Air Passenger Departures,Europe,France,3140
1987-11,Number Of Air Passenger Departures,Europe,Germany,5539
1987-12,Number Of Air Passenger Departures,South East Asia,Malaysia,99887
1987-12,Number Of Air Passenger Departures,South East Asia,Indonesia,59275
1987-12,Number Of Air Passenger Departures,South East Asia,Thailand,66313
1987-12,Number Of Air Passenger Departures,South East Asia,Philippines,12660
1987-12,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1987-12,Number Of Air Passenger Departures,North East Asia,China,2335
1987-12,Number Of Air Passenger Departures,North East Asia,Hong Kong,33825
1987-12,Number Of Air Passenger Departures,North East Asia,Japan,28194
1987-12,Number Of Air Passenger Departures,Europe,United Kingdom,12636
1987-12,Number Of Air Passenger Departures,Europe,France,2858
1987-12,Number Of Air Passenger Departures,Europe,Germany,3783
1988-01,Number Of Air Passenger Departures,South East Asia,Malaysia,72571
1988-01,Number Of Air Passenger Departures,South East Asia,Indonesia,50082
1988-01,Number Of Air Passenger Departures,South East Asia,Thailand,47855
1988-01,Number Of Air Passenger Departures,South East Asia,Philippines,9418
1988-01,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1988-01,Number Of Air Passenger Departures,North East Asia,China,1631
1988-01,Number Of Air Passenger Departures,North East Asia,Hong Kong,29815
1988-01,Number Of Air Passenger Departures,North East Asia,Japan,35475
1988-01,Number Of Air Passenger Departures,Europe,United Kingdom,16733
1988-01,Number Of Air Passenger Departures,Europe,France,2485
1988-01,Number Of Air Passenger Departures,Europe,Germany,5713
1988-02,Number Of Air Passenger Departures,South East Asia,Malaysia,82868
1988-02,Number Of Air Passenger Departures,South East Asia,Indonesia,50801
1988-02,Number Of Air Passenger Departures,South East Asia,Thailand,52314
1988-02,Number Of Air Passenger Departures,South East Asia,Philippines,9326
1988-02,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1988-02,Number Of Air Passenger Departures,North East Asia,China,2541
1988-02,Number Of Air Passenger Departures,North East Asia,Hong Kong,32463
1988-02,Number Of Air Passenger Departures,North East Asia,Japan,33317
1988-02,Number Of Air Passenger Departures,Europe,United Kingdom,15195
1988-02,Number Of Air Passenger Departures,Europe,France,2684
1988-02,Number Of Air Passenger Departures,Europe,Germany,4704
1988-03,Number Of Air Passenger Departures,South East Asia,Malaysia,82354
1988-03,Number Of Air Passenger Departures,South East Asia,Indonesia,51858
1988-03,Number Of Air Passenger Departures,South East Asia,Thailand,52639
1988-03,Number Of Air Passenger Departures,South East Asia,Philippines,10933
1988-03,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1988-03,Number Of Air Passenger Departures,North East Asia,China,2566
1988-03,Number Of Air Passenger Departures,North East Asia,Hong Kong,37382
1988-03,Number Of Air Passenger Departures,North East Asia,Japan,42189
1988-03,Number Of Air Passenger Departures,Europe,United Kingdom,19744
1988-03,Number Of Air Passenger Departures,Europe,France,2930
1988-03,Number Of Air Passenger Departures,Europe,Germany,6096
1988-04,Number Of Air Passenger Departures,South East Asia,Malaysia,80605
1988-04,Number Of Air Passenger Departures,South East Asia,Indonesia,47342
1988-04,Number Of Air Passenger Departures,South East Asia,Thailand,50864
1988-04,Number Of Air Passenger Departures,South East Asia,Philippines,10636
1988-04,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1988-04,Number Of Air Passenger Departures,North East Asia,China,3617
1988-04,Number Of Air Passenger Departures,North East Asia,Hong Kong,35943
1988-04,Number Of Air Passenger Departures,North East Asia,Japan,37112
1988-04,Number Of Air Passenger Departures,Europe,United Kingdom,20538
1988-04,Number Of Air Passenger Departures,Europe,France,3599
1988-04,Number Of Air Passenger Departures,Europe,Germany,6307
1988-05,Number Of Air Passenger Departures,South East Asia,Malaysia,78701
1988-05,Number Of Air Passenger Departures,South East Asia,Indonesia,51489
1988-05,Number Of Air Passenger Departures,South East Asia,Thailand,53081
1988-05,Number Of Air Passenger Departures,South East Asia,Philippines,10585
1988-05,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1988-05,Number Of Air Passenger Departures,North East Asia,China,3992
1988-05,Number Of Air Passenger Departures,North East Asia,Hong Kong,34921
1988-05,Number Of Air Passenger Departures,North East Asia,Japan,39356
1988-05,Number Of Air Passenger Departures,Europe,United Kingdom,20674
1988-05,Number Of Air Passenger Departures,Europe,France,3000
1988-05,Number Of Air Passenger Departures,Europe,Germany,5744
1988-06,Number Of Air Passenger Departures,South East Asia,Malaysia,88872
1988-06,Number Of Air Passenger Departures,South East Asia,Indonesia,57562
1988-06,Number Of Air Passenger Departures,South East Asia,Thailand,53213
1988-06,Number Of Air Passenger Departures,South East Asia,Philippines,11135
1988-06,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1988-06,Number Of Air Passenger Departures,North East Asia,China,3752
1988-06,Number Of Air Passenger Departures,North East Asia,Hong Kong,34457
1988-06,Number Of Air Passenger Departures,North East Asia,Japan,40265
1988-06,Number Of Air Passenger Departures,Europe,United Kingdom,21516
1988-06,Number Of Air Passenger Departures,Europe,France,2714
1988-06,Number Of Air Passenger Departures,Europe,Germany,5867
1988-07,Number Of Air Passenger Departures,South East Asia,Malaysia,86804
1988-07,Number Of Air Passenger Departures,South East Asia,Indonesia,72123
1988-07,Number Of Air Passenger Departures,South East Asia,Thailand,51955
1988-07,Number Of Air Passenger Departures,South East Asia,Philippines,9352
1988-07,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1988-07,Number Of Air Passenger Departures,North East Asia,China,2158
1988-07,Number Of Air Passenger Departures,North East Asia,Hong Kong,33246
1988-07,Number Of Air Passenger Departures,North East Asia,Japan,41799
1988-07,Number Of Air Passenger Departures,Europe,United Kingdom,21497
1988-07,Number Of Air Passenger Departures,Europe,France,2613
1988-07,Number Of Air Passenger Departures,Europe,Germany,5859
1988-08,Number Of Air Passenger Departures,South East Asia,Malaysia,92774
1988-08,Number Of Air Passenger Departures,South East Asia,Indonesia,58036
1988-08,Number Of Air Passenger Departures,South East Asia,Thailand,59270
1988-08,Number Of Air Passenger Departures,South East Asia,Philippines,9859
1988-08,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1988-08,Number Of Air Passenger Departures,North East Asia,China,2414
1988-08,Number Of Air Passenger Departures,North East Asia,Hong Kong,40928
1988-08,Number Of Air Passenger Departures,North East Asia,Japan,47272
1988-08,Number Of Air Passenger Departures,Europe,United Kingdom,24189
1988-08,Number Of Air Passenger Departures,Europe,France,4288
1988-08,Number Of Air Passenger Departures,Europe,Germany,7370
1988-09,Number Of Air Passenger Departures,South East Asia,Malaysia,82763
1988-09,Number Of Air Passenger Departures,South East Asia,Indonesia,52278
1988-09,Number Of Air Passenger Departures,South East Asia,Thailand,50128
1988-09,Number Of Air Passenger Departures,South East Asia,Philippines,10209
1988-09,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1988-09,Number Of Air Passenger Departures,North East Asia,China,4009
1988-09,Number Of Air Passenger Departures,North East Asia,Hong Kong,37823
1988-09,Number Of Air Passenger Departures,North East Asia,Japan,44898
1988-09,Number Of Air Passenger Departures,Europe,United Kingdom,24141
1988-09,Number Of Air Passenger Departures,Europe,France,3221
1988-09,Number Of Air Passenger Departures,Europe,Germany,6710
1988-10,Number Of Air Passenger Departures,South East Asia,Malaysia,84512
1988-10,Number Of Air Passenger Departures,South East Asia,Indonesia,56018
1988-10,Number Of Air Passenger Departures,South East Asia,Thailand,55670
1988-10,Number Of Air Passenger Departures,South East Asia,Philippines,10574
1988-10,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1988-10,Number Of Air Passenger Departures,North East Asia,China,3600
1988-10,Number Of Air Passenger Departures,North East Asia,Hong Kong,37449
1988-10,Number Of Air Passenger Departures,North East Asia,Japan,41269
1988-10,Number Of Air Passenger Departures,Europe,United Kingdom,18396
1988-10,Number Of Air Passenger Departures,Europe,France,3302
1988-10,Number Of Air Passenger Departures,Europe,Germany,6480
1988-11,Number Of Air Passenger Departures,South East Asia,Malaysia,92679
1988-11,Number Of Air Passenger Departures,South East Asia,Indonesia,64879
1988-11,Number Of Air Passenger Departures,South East Asia,Thailand,66442
1988-11,Number Of Air Passenger Departures,South East Asia,Philippines,12018
1988-11,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1988-11,Number Of Air Passenger Departures,North East Asia,China,2933
1988-11,Number Of Air Passenger Departures,North East Asia,Hong Kong,37681
1988-11,Number Of Air Passenger Departures,North East Asia,Japan,43385
1988-11,Number Of Air Passenger Departures,Europe,United Kingdom,17667
1988-11,Number Of Air Passenger Departures,Europe,France,4460
1988-11,Number Of Air Passenger Departures,Europe,Germany,7038
1988-12,Number Of Air Passenger Departures,South East Asia,Malaysia,112578
1988-12,Number Of Air Passenger Departures,South East Asia,Indonesia,71327
1988-12,Number Of Air Passenger Departures,South East Asia,Thailand,71026
1988-12,Number Of Air Passenger Departures,South East Asia,Philippines,14140
1988-12,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1988-12,Number Of Air Passenger Departures,North East Asia,China,2578
1988-12,Number Of Air Passenger Departures,North East Asia,Hong Kong,35869
1988-12,Number Of Air Passenger Departures,North East Asia,Japan,39559
1988-12,Number Of Air Passenger Departures,Europe,United Kingdom,17251
1988-12,Number Of Air Passenger Departures,Europe,France,3145
1988-12,Number Of Air Passenger Departures,Europe,Germany,6231
1989-01,Number Of Air Passenger Departures,South East Asia,Malaysia,87205
1989-01,Number Of Air Passenger Departures,South East Asia,Indonesia,59069
1989-01,Number Of Air Passenger Departures,South East Asia,Thailand,56782
1989-01,Number Of Air Passenger Departures,South East Asia,Philippines,10932
1989-01,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1989-01,Number Of Air Passenger Departures,North East Asia,China,1989
1989-01,Number Of Air Passenger Departures,North East Asia,Hong Kong,32727
1989-01,Number Of Air Passenger Departures,North East Asia,Japan,46817
1989-01,Number Of Air Passenger Departures,Europe,United Kingdom,20061
1989-01,Number Of Air Passenger Departures,Europe,France,3320
1989-01,Number Of Air Passenger Departures,Europe,Germany,7493
1989-02,Number Of Air Passenger Departures,South East Asia,Malaysia,90309
1989-02,Number Of Air Passenger Departures,South East Asia,Indonesia,57909
1989-02,Number Of Air Passenger Departures,South East Asia,Thailand,60396
1989-02,Number Of Air Passenger Departures,South East Asia,Philippines,11657
1989-02,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1989-02,Number Of Air Passenger Departures,North East Asia,China,2387
1989-02,Number Of Air Passenger Departures,North East Asia,Hong Kong,34222
1989-02,Number Of Air Passenger Departures,North East Asia,Japan,42342
1989-02,Number Of Air Passenger Departures,Europe,United Kingdom,16418
1989-02,Number Of Air Passenger Departures,Europe,France,2724
1989-02,Number Of Air Passenger Departures,Europe,Germany,6459
1989-03,Number Of Air Passenger Departures,South East Asia,Malaysia,94117
1989-03,Number Of Air Passenger Departures,South East Asia,Indonesia,61201
1989-03,Number Of Air Passenger Departures,South East Asia,Thailand,68023
1989-03,Number Of Air Passenger Departures,South East Asia,Philippines,12231
1989-03,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1989-03,Number Of Air Passenger Departures,North East Asia,China,3022
1989-03,Number Of Air Passenger Departures,North East Asia,Hong Kong,38936
1989-03,Number Of Air Passenger Departures,North East Asia,Japan,52625
1989-03,Number Of Air Passenger Departures,Europe,United Kingdom,23362
1989-03,Number Of Air Passenger Departures,Europe,France,3963
1989-03,Number Of Air Passenger Departures,Europe,Germany,9260
1989-04,Number Of Air Passenger Departures,South East Asia,Malaysia,87401
1989-04,Number Of Air Passenger Departures,South East Asia,Indonesia,53007
1989-04,Number Of Air Passenger Departures,South East Asia,Thailand,57298
1989-04,Number Of Air Passenger Departures,South East Asia,Philippines,12048
1989-04,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1989-04,Number Of Air Passenger Departures,North East Asia,China,3807
1989-04,Number Of Air Passenger Departures,North East Asia,Hong Kong,35512
1989-04,Number Of Air Passenger Departures,North East Asia,Japan,45218
1989-04,Number Of Air Passenger Departures,Europe,United Kingdom,23776
1989-04,Number Of Air Passenger Departures,Europe,France,3910
1989-04,Number Of Air Passenger Departures,Europe,Germany,9557
1989-05,Number Of Air Passenger Departures,South East Asia,Malaysia,91169
1989-05,Number Of Air Passenger Departures,South East Asia,Indonesia,64222
1989-05,Number Of Air Passenger Departures,South East Asia,Thailand,63142
1989-05,Number Of Air Passenger Departures,South East Asia,Philippines,12745
1989-05,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1989-05,Number Of Air Passenger Departures,North East Asia,China,4379
1989-05,Number Of Air Passenger Departures,North East Asia,Hong Kong,34433
1989-05,Number Of Air Passenger Departures,North East Asia,Japan,48347
1989-05,Number Of Air Passenger Departures,Europe,United Kingdom,21338
1989-05,Number Of Air Passenger Departures,Europe,France,3481
1989-05,Number Of Air Passenger Departures,Europe,Germany,7213
1989-06,Number Of Air Passenger Departures,South East Asia,Malaysia,96664
1989-06,Number Of Air Passenger Departures,South East Asia,Indonesia,66045
1989-06,Number Of Air Passenger Departures,South East Asia,Thailand,60462
1989-06,Number Of Air Passenger Departures,South East Asia,Philippines,12044
1989-06,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1989-06,Number Of Air Passenger Departures,North East Asia,China,2195
1989-06,Number Of Air Passenger Departures,North East Asia,Hong Kong,32360
1989-06,Number Of Air Passenger Departures,North East Asia,Japan,54604
1989-06,Number Of Air Passenger Departures,Europe,United Kingdom,20765
1989-06,Number Of Air Passenger Departures,Europe,France,3269
1989-06,Number Of Air Passenger Departures,Europe,Germany,6439
1989-07,Number Of Air Passenger Departures,South East Asia,Malaysia,97821
1989-07,Number Of Air Passenger Departures,South East Asia,Indonesia,83888
1989-07,Number Of Air Passenger Departures,South East Asia,Thailand,61072
1989-07,Number Of Air Passenger Departures,South East Asia,Philippines,11949
1989-07,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1989-07,Number Of Air Passenger Departures,North East Asia,China,1909
1989-07,Number Of Air Passenger Departures,North East Asia,Hong Kong,33732
1989-07,Number Of Air Passenger Departures,North East Asia,Japan,55497
1989-07,Number Of Air Passenger Departures,Europe,United Kingdom,20412
1989-07,Number Of Air Passenger Departures,Europe,France,3266
1989-07,Number Of Air Passenger Departures,Europe,Germany,6211
1989-08,Number Of Air Passenger Departures,South East Asia,Malaysia,98926
1989-08,Number Of Air Passenger Departures,South East Asia,Indonesia,66943
1989-08,Number Of Air Passenger Departures,South East Asia,Thailand,61336
1989-08,Number Of Air Passenger Departures,South East Asia,Philippines,11103
1989-08,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1989-08,Number Of Air Passenger Departures,North East Asia,China,2544
1989-08,Number Of Air Passenger Departures,North East Asia,Hong Kong,41944
1989-08,Number Of Air Passenger Departures,North East Asia,Japan,69521
1989-08,Number Of Air Passenger Departures,Europe,United Kingdom,23126
1989-08,Number Of Air Passenger Departures,Europe,France,4019
1989-08,Number Of Air Passenger Departures,Europe,Germany,8405
1989-09,Number Of Air Passenger Departures,South East Asia,Malaysia,94742
1989-09,Number Of Air Passenger Departures,South East Asia,Indonesia,62871
1989-09,Number Of Air Passenger Departures,South East Asia,Thailand,57829
1989-09,Number Of Air Passenger Departures,South East Asia,Philippines,11145
1989-09,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1989-09,Number Of Air Passenger Departures,North East Asia,China,4128
1989-09,Number Of Air Passenger Departures,North East Asia,Hong Kong,38803
1989-09,Number Of Air Passenger Departures,North East Asia,Japan,66380
1989-09,Number Of Air Passenger Departures,Europe,United Kingdom,20876
1989-09,Number Of Air Passenger Departures,Europe,France,3105
1989-09,Number Of Air Passenger Departures,Europe,Germany,7678
1989-10,Number Of Air Passenger Departures,South East Asia,Malaysia,94704
1989-10,Number Of Air Passenger Departures,South East Asia,Indonesia,68747
1989-10,Number Of Air Passenger Departures,South East Asia,Thailand,64376
1989-10,Number Of Air Passenger Departures,South East Asia,Philippines,12148
1989-10,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1989-10,Number Of Air Passenger Departures,North East Asia,China,3658
1989-10,Number Of Air Passenger Departures,North East Asia,Hong Kong,38546
1989-10,Number Of Air Passenger Departures,North East Asia,Japan,56435
1989-10,Number Of Air Passenger Departures,Europe,United Kingdom,17432
1989-10,Number Of Air Passenger Departures,Europe,France,2973
1989-10,Number Of Air Passenger Departures,Europe,Germany,6837
1989-11,Number Of Air Passenger Departures,South East Asia,Malaysia,111772
1989-11,Number Of Air Passenger Departures,South East Asia,Indonesia,73910
1989-11,Number Of Air Passenger Departures,South East Asia,Thailand,68797
1989-11,Number Of Air Passenger Departures,South East Asia,Philippines,13385
1989-11,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1989-11,Number Of Air Passenger Departures,North East Asia,China,2856
1989-11,Number Of Air Passenger Departures,North East Asia,Hong Kong,39806
1989-11,Number Of Air Passenger Departures,North East Asia,Japan,55283
1989-11,Number Of Air Passenger Departures,Europe,United Kingdom,18837
1989-11,Number Of Air Passenger Departures,Europe,France,3633
1989-11,Number Of Air Passenger Departures,Europe,Germany,6958
1989-12,Number Of Air Passenger Departures,South East Asia,Malaysia,116850
1989-12,Number Of Air Passenger Departures,South East Asia,Indonesia,77501
1989-12,Number Of Air Passenger Departures,South East Asia,Thailand,79642
1989-12,Number Of Air Passenger Departures,South East Asia,Philippines,12542
1989-12,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1989-12,Number Of Air Passenger Departures,North East Asia,China,2790
1989-12,Number Of Air Passenger Departures,North East Asia,Hong Kong,40676
1989-12,Number Of Air Passenger Departures,North East Asia,Japan,55295
1989-12,Number Of Air Passenger Departures,Europe,United Kingdom,20052
1989-12,Number Of Air Passenger Departures,Europe,France,3237
1989-12,Number Of Air Passenger Departures,Europe,Germany,6328
1990-01,Number Of Air Passenger Departures,South East Asia,Malaysia,105246
1990-01,Number Of Air Passenger Departures,South East Asia,Indonesia,73876
1990-01,Number Of Air Passenger Departures,South East Asia,Thailand,70984
1990-01,Number Of Air Passenger Departures,South East Asia,Philippines,10126
1990-01,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1990-01,Number Of Air Passenger Departures,North East Asia,China,2461
1990-01,Number Of Air Passenger Departures,North East Asia,Hong Kong,36975
1990-01,Number Of Air Passenger Departures,North East Asia,Japan,64757
1990-01,Number Of Air Passenger Departures,Europe,United Kingdom,21578
1990-01,Number Of Air Passenger Departures,Europe,France,3374
1990-01,Number Of Air Passenger Departures,Europe,Germany,7888
1990-02,Number Of Air Passenger Departures,South East Asia,Malaysia,94480
1990-02,Number Of Air Passenger Departures,South East Asia,Indonesia,60752
1990-02,Number Of Air Passenger Departures,South East Asia,Thailand,64301
1990-02,Number Of Air Passenger Departures,South East Asia,Philippines,10786
1990-02,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1990-02,Number Of Air Passenger Departures,North East Asia,China,2366
1990-02,Number Of Air Passenger Departures,North East Asia,Hong Kong,43593
1990-02,Number Of Air Passenger Departures,North East Asia,Japan,59824
1990-02,Number Of Air Passenger Departures,Europe,United Kingdom,18439
1990-02,Number Of Air Passenger Departures,Europe,France,3011
1990-02,Number Of Air Passenger Departures,Europe,Germany,7005
1990-03,Number Of Air Passenger Departures,South East Asia,Malaysia,108916
1990-03,Number Of Air Passenger Departures,South East Asia,Indonesia,68786
1990-03,Number Of Air Passenger Departures,South East Asia,Thailand,70592
1990-03,Number Of Air Passenger Departures,South East Asia,Philippines,12935
1990-03,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1990-03,Number Of Air Passenger Departures,North East Asia,China,3341
1990-03,Number Of Air Passenger Departures,North East Asia,Hong Kong,44267
1990-03,Number Of Air Passenger Departures,North East Asia,Japan,69697
1990-03,Number Of Air Passenger Departures,Europe,United Kingdom,24755
1990-03,Number Of Air Passenger Departures,Europe,France,3763
1990-03,Number Of Air Passenger Departures,Europe,Germany,9091
1990-04,Number Of Air Passenger Departures,South East Asia,Malaysia,98519
1990-04,Number Of Air Passenger Departures,South East Asia,Indonesia,60246
1990-04,Number Of Air Passenger Departures,South East Asia,Thailand,72717
1990-04,Number Of Air Passenger Departures,South East Asia,Philippines,12491
1990-04,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1990-04,Number Of Air Passenger Departures,North East Asia,China,4602
1990-04,Number Of Air Passenger Departures,North East Asia,Hong Kong,43399
1990-04,Number Of Air Passenger Departures,North East Asia,Japan,57619
1990-04,Number Of Air Passenger Departures,Europe,United Kingdom,24388
1990-04,Number Of Air Passenger Departures,Europe,France,3796
1990-04,Number Of Air Passenger Departures,Europe,Germany,9248
1990-05,Number Of Air Passenger Departures,South East Asia,Malaysia,109257
1990-05,Number Of Air Passenger Departures,South East Asia,Indonesia,75223
1990-05,Number Of Air Passenger Departures,South East Asia,Thailand,66712
1990-05,Number Of Air Passenger Departures,South East Asia,Philippines,12102
1990-05,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1990-05,Number Of Air Passenger Departures,North East Asia,China,4206
1990-05,Number Of Air Passenger Departures,North East Asia,Hong Kong,41685
1990-05,Number Of Air Passenger Departures,North East Asia,Japan,59465
1990-05,Number Of Air Passenger Departures,Europe,United Kingdom,25613
1990-05,Number Of Air Passenger Departures,Europe,France,3655
1990-05,Number Of Air Passenger Departures,Europe,Germany,9044
1990-06,Number Of Air Passenger Departures,South East Asia,Malaysia,113595
1990-06,Number Of Air Passenger Departures,South East Asia,Indonesia,74686
1990-06,Number Of Air Passenger Departures,South East Asia,Thailand,67462
1990-06,Number Of Air Passenger Departures,South East Asia,Philippines,11663
1990-06,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1990-06,Number Of Air Passenger Departures,North East Asia,China,3824
1990-06,Number Of Air Passenger Departures,North East Asia,Hong Kong,43964
1990-06,Number Of Air Passenger Departures,North East Asia,Japan,67652
1990-06,Number Of Air Passenger Departures,Europe,United Kingdom,23556
1990-06,Number Of Air Passenger Departures,Europe,France,3410
1990-06,Number Of Air Passenger Departures,Europe,Germany,8467
1990-07,Number Of Air Passenger Departures,South East Asia,Malaysia,106622
1990-07,Number Of Air Passenger Departures,South East Asia,Indonesia,91772
1990-07,Number Of Air Passenger Departures,South East Asia,Thailand,60650
1990-07,Number Of Air Passenger Departures,South East Asia,Philippines,10329
1990-07,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1990-07,Number Of Air Passenger Departures,North East Asia,China,2713
1990-07,Number Of Air Passenger Departures,North East Asia,Hong Kong,40960
1990-07,Number Of Air Passenger Departures,North East Asia,Japan,63707
1990-07,Number Of Air Passenger Departures,Europe,United Kingdom,23603
1990-07,Number Of Air Passenger Departures,Europe,France,3221
1990-07,Number Of Air Passenger Departures,Europe,Germany,8431
1990-08,Number Of Air Passenger Departures,South East Asia,Malaysia,114409
1990-08,Number Of Air Passenger Departures,South East Asia,Indonesia,77877
1990-08,Number Of Air Passenger Departures,South East Asia,Thailand,69666
1990-08,Number Of Air Passenger Departures,South East Asia,Philippines,10255
1990-08,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1990-08,Number Of Air Passenger Departures,North East Asia,China,3285
1990-08,Number Of Air Passenger Departures,North East Asia,Hong Kong,52886
1990-08,Number Of Air Passenger Departures,North East Asia,Japan,78619
1990-08,Number Of Air Passenger Departures,Europe,United Kingdom,26434
1990-08,Number Of Air Passenger Departures,Europe,France,3590
1990-08,Number Of Air Passenger Departures,Europe,Germany,10166
1990-09,Number Of Air Passenger Departures,South East Asia,Malaysia,104379
1990-09,Number Of Air Passenger Departures,South East Asia,Indonesia,67630
1990-09,Number Of Air Passenger Departures,South East Asia,Thailand,58797
1990-09,Number Of Air Passenger Departures,South East Asia,Philippines,9620
1990-09,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1990-09,Number Of Air Passenger Departures,North East Asia,China,4913
1990-09,Number Of Air Passenger Departures,North East Asia,Hong Kong,43185
1990-09,Number Of Air Passenger Departures,North East Asia,Japan,71382
1990-09,Number Of Air Passenger Departures,Europe,United Kingdom,24608
1990-09,Number Of Air Passenger Departures,Europe,France,3460
1990-09,Number Of Air Passenger Departures,Europe,Germany,9996
1990-10,Number Of Air Passenger Departures,South East Asia,Malaysia,105055
1990-10,Number Of Air Passenger Departures,South East Asia,Indonesia,74361
1990-10,Number Of Air Passenger Departures,South East Asia,Thailand,69085
1990-10,Number Of Air Passenger Departures,South East Asia,Philippines,9610
1990-10,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1990-10,Number Of Air Passenger Departures,North East Asia,China,5051
1990-10,Number Of Air Passenger Departures,North East Asia,Hong Kong,46581
1990-10,Number Of Air Passenger Departures,North East Asia,Japan,63688
1990-10,Number Of Air Passenger Departures,Europe,United Kingdom,18739
1990-10,Number Of Air Passenger Departures,Europe,France,3234
1990-10,Number Of Air Passenger Departures,Europe,Germany,8798
1990-11,Number Of Air Passenger Departures,South East Asia,Malaysia,125900
1990-11,Number Of Air Passenger Departures,South East Asia,Indonesia,81788
1990-11,Number Of Air Passenger Departures,South East Asia,Thailand,72900
1990-11,Number Of Air Passenger Departures,South East Asia,Philippines,11593
1990-11,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1990-11,Number Of Air Passenger Departures,North East Asia,China,4680
1990-11,Number Of Air Passenger Departures,North East Asia,Hong Kong,46044
1990-11,Number Of Air Passenger Departures,North East Asia,Japan,62786
1990-11,Number Of Air Passenger Departures,Europe,United Kingdom,20687
1990-11,Number Of Air Passenger Departures,Europe,France,3373
1990-11,Number Of Air Passenger Departures,Europe,Germany,8292
1990-12,Number Of Air Passenger Departures,South East Asia,Malaysia,134673
1990-12,Number Of Air Passenger Departures,South East Asia,Indonesia,86334
