month,level_1,level_2,value
2013-03,Number Of Air Passenger Arrivals,North America,23768
2013-03,Number Of Air Passenger Arrivals,Other Regions,8727
2013-04,Number Of Air Passenger Arrivals,South East Asia,970757
2013-04,Number Of Air Passenger Arrivals,North East Asia,530807
2013-04,Number Of Air Passenger Arrivals,South Asia,181982
2013-04,Number Of Air Passenger Arrivals,Middle East,43956
2013-04,Number Of Air Passenger Arrivals,Oceania,218671
2013-04,Number Of Air Passenger Arrivals,Europe,135400
2013-04,Number Of Air Passenger Arrivals,North America,22212
2013-04,Number Of Air Passenger Arrivals,Other Regions,8390
2013-05,Number Of Air Passenger Arrivals,South East Asia,997638
2013-05,Number Of Air Passenger Arrivals,North East Asia,487824
2013-05,Number Of Air Passenger Arrivals,South Asia,194090
2013-05,Number Of Air Passenger Arrivals,Middle East,42983
2013-05,Number Of Air Passenger Arrivals,Oceania,198544
2013-05,Number Of Air Passenger Arrivals,Europe,133050
2013-05,Number Of Air Passenger Arrivals,North America,29817
2013-05,Number Of Air Passenger Arrivals,Other Regions,7374
2013-06,Number Of Air Passenger Arrivals,South East Asia,1059319
2013-06,Number Of Air Passenger Arrivals,North East Asia,552238
2013-06,Number Of Air Passenger Arrivals,South Asia,191531
2013-06,Number Of Air Passenger Arrivals,Middle East,62209
2013-06,Number Of Air Passenger Arrivals,Oceania,240265
2013-06,Number Of Air Passenger Arrivals,Europe,165766
2013-06,Number Of Air Passenger Arrivals,North America,36292
2013-06,Number Of Air Passenger Arrivals,Other Regions,8241
2013-07,Number Of Air Passenger Arrivals,South East Asia,974929
2013-07,Number Of Air Passenger Arrivals,North East Asia,591689
2013-07,Number Of Air Passenger Arrivals,South Asia,180707
2013-07,Number Of Air Passenger Arrivals,Middle East,56278
2013-07,Number Of Air Passenger Arrivals,Oceania,225935
2013-07,Number Of Air Passenger Arrivals,Europe,195132
2013-07,Number Of Air Passenger Arrivals,North America,31447
2013-07,Number Of Air Passenger Arrivals,Other Regions,7656
2013-08,Number Of Air Passenger Arrivals,South East Asia,1033652
2013-08,Number Of Air Passenger Arrivals,North East Asia,588600
2013-08,Number Of Air Passenger Arrivals,South Asia,181966
2013-08,Number Of Air Passenger Arrivals,Middle East,55475
2013-08,Number Of Air Passenger Arrivals,Oceania,223755
2013-08,Number Of Air Passenger Arrivals,Europe,182409
2013-08,Number Of Air Passenger Arrivals,North America,26124
2013-08,Number Of Air Passenger Arrivals,Other Regions,8817
2013-09,Number Of Air Passenger Arrivals,South East Asia,947771
2013-09,Number Of Air Passenger Arrivals,North East Asia,526786
2013-09,Number Of Air Passenger Arrivals,South Asia,163583
2013-09,Number Of Air Passenger Arrivals,Middle East,42766
2013-09,Number Of Air Passenger Arrivals,Oceania,230890
2013-09,Number Of Air Passenger Arrivals,Europe,173242
2013-09,Number Of Air Passenger Arrivals,North America,21099
2013-09,Number Of Air Passenger Arrivals,Other Regions,9021
2013-10,Number Of Air Passenger Arrivals,South East Asia,987327
2013-10,Number Of Air Passenger Arrivals,North East Asia,529129
2013-10,Number Of Air Passenger Arrivals,South Asia,166833
2013-10,Number Of Air Passenger Arrivals,Middle East,50337
2013-10,Number Of Air Passenger Arrivals,Oceania,200972
2013-10,Number Of Air Passenger Arrivals,Europe,183499
2013-10,Number Of Air Passenger Arrivals,North America,24029
2013-10,Number Of Air Passenger Arrivals,Other Regions,8322
2013-11,Number Of Air Passenger Arrivals,South East Asia,991412
2013-11,Number Of Air Passenger Arrivals,North East Asia,553864
2013-11,Number Of Air Passenger Arrivals,South Asia,179462
2013-11,Number Of Air Passenger Arrivals,Middle East,41890
2013-11,Number Of Air Passenger Arrivals,Oceania,221142
2013-11,Number Of Air Passenger Arrivals,Europe,147495
2013-11,Number Of Air Passenger Arrivals,North America,22112
2013-11,Number Of Air Passenger Arrivals,Other Regions,6861
2013-12,Number Of Air Passenger Arrivals,South East Asia,1146801
2013-12,Number Of Air Passenger Arrivals,North East Asia,643997
2013-12,Number Of Air Passenger Arrivals,South Asia,215026
2013-12,Number Of Air Passenger Arrivals,Middle East,61370
2013-12,Number Of Air Passenger Arrivals,Oceania,302573
2013-12,Number Of Air Passenger Arrivals,Europe,167326
2013-12,Number Of Air Passenger Arrivals,North America,25340
2013-12,Number Of Air Passenger Arrivals,Other Regions,10121
2014-01,Number Of Air Passenger Arrivals,South East Asia,961176
2014-01,Number Of Air Passenger Arrivals,North East Asia,597316
2014-01,Number Of Air Passenger Arrivals,South Asia,210619
2014-01,Number Of Air Passenger Arrivals,Middle East,55484
2014-01,Number Of Air Passenger Arrivals,Oceania,241053
2014-01,Number Of Air Passenger Arrivals,Europe,164504
2014-01,Number Of Air Passenger Arrivals,North America,25544
2014-01,Number Of Air Passenger Arrivals,Other Regions,9740
2014-02,Number Of Air Passenger Arrivals,South East Asia,926930
2014-02,Number Of Air Passenger Arrivals,North East Asia,539713
2014-02,Number Of Air Passenger Arrivals,South Asia,190438
2014-02,Number Of Air Passenger Arrivals,Middle East,48528
2014-02,Number Of Air Passenger Arrivals,Oceania,192331
2014-02,Number Of Air Passenger Arrivals,Europe,138795
2014-02,Number Of Air Passenger Arrivals,North America,17115
2014-02,Number Of Air Passenger Arrivals,Other Regions,6579
2014-03,Number Of Air Passenger Arrivals,South East Asia,1015913
2014-03,Number Of Air Passenger Arrivals,North East Asia,582875
2014-03,Number Of Air Passenger Arrivals,South Asia,183161
2014-03,Number Of Air Passenger Arrivals,Middle East,55028
2014-03,Number Of Air Passenger Arrivals,Oceania,210630
2014-03,Number Of Air Passenger Arrivals,Europe,137115
2014-03,Number Of Air Passenger Arrivals,North America,19976
2014-03,Number Of Air Passenger Arrivals,Other Regions,7181
2014-04,Number Of Air Passenger Arrivals,South East Asia,973606
2014-04,Number Of Air Passenger Arrivals,North East Asia,551290
2014-04,Number Of Air Passenger Arrivals,South Asia,185974
2014-04,Number Of Air Passenger Arrivals,Middle East,48130
2014-04,Number Of Air Passenger Arrivals,Oceania,231542
2014-04,Number Of Air Passenger Arrivals,Europe,144487
2014-04,Number Of Air Passenger Arrivals,North America,16030
2014-04,Number Of Air Passenger Arrivals,Other Regions,8642
2014-05,Number Of Air Passenger Arrivals,South East Asia,986980
2014-05,Number Of Air Passenger Arrivals,North East Asia,515696
2014-05,Number Of Air Passenger Arrivals,South Asia,203965
2014-05,Number Of Air Passenger Arrivals,Middle East,46103
2014-05,Number Of Air Passenger Arrivals,Oceania,210166
2014-05,Number Of Air Passenger Arrivals,Europe,136510
2014-05,Number Of Air Passenger Arrivals,North America,23594
2014-05,Number Of Air Passenger Arrivals,Other Regions,7896
2014-06,Number Of Air Passenger Arrivals,South East Asia,1041999
2014-06,Number Of Air Passenger Arrivals,North East Asia,574529
2014-06,Number Of Air Passenger Arrivals,South Asia,195473
2014-06,Number Of Air Passenger Arrivals,Middle East,51754
2014-06,Number Of Air Passenger Arrivals,Oceania,243810
2014-06,Number Of Air Passenger Arrivals,Europe,159531
2014-06,Number Of Air Passenger Arrivals,North America,27547
2014-06,Number Of Air Passenger Arrivals,Other Regions,8342
2014-07,Number Of Air Passenger Arrivals,South East Asia,966822
2014-07,Number Of Air Passenger Arrivals,North East Asia,618635
2014-07,Number Of Air Passenger Arrivals,South Asia,184192
2014-07,Number Of Air Passenger Arrivals,Middle East,52765
2014-07,Number Of Air Passenger Arrivals,Oceania,222289
2014-07,Number Of Air Passenger Arrivals,Europe,196793
2014-07,Number Of Air Passenger Arrivals,North America,23629
2014-07,Number Of Air Passenger Arrivals,Other Regions,8918
2014-08,Number Of Air Passenger Arrivals,South East Asia,967138
2014-08,Number Of Air Passenger Arrivals,North East Asia,602183
2014-08,Number Of Air Passenger Arrivals,South Asia,199401
2014-08,Number Of Air Passenger Arrivals,Middle East,58923
2014-08,Number Of Air Passenger Arrivals,Oceania,231897
2014-08,Number Of Air Passenger Arrivals,Europe,188498
2014-08,Number Of Air Passenger Arrivals,North America,19757
2014-08,Number Of Air Passenger Arrivals,Other Regions,9906
2014-09,Number Of Air Passenger Arrivals,South East Asia,902381
2014-09,Number Of Air Passenger Arrivals,North East Asia,537094
2014-09,Number Of Air Passenger Arrivals,South Asia,181210
2014-09,Number Of Air Passenger Arrivals,Middle East,51014
2014-09,Number Of Air Passenger Arrivals,Oceania,220441
2014-09,Number Of Air Passenger Arrivals,Europe,176603
2014-09,Number Of Air Passenger Arrivals,North America,16127
2014-09,Number Of Air Passenger Arrivals,Other Regions,8186
2014-10,Number Of Air Passenger Arrivals,South East Asia,985074
2014-10,Number Of Air Passenger Arrivals,North East Asia,567632
2014-10,Number Of Air Passenger Arrivals,South Asia,195533
2014-10,Number Of Air Passenger Arrivals,Middle East,58274
2014-10,Number Of Air Passenger Arrivals,Oceania,195576
2014-10,Number Of Air Passenger Arrivals,Europe,184869
2014-10,Number Of Air Passenger Arrivals,North America,16183
2014-10,Number Of Air Passenger Arrivals,Other Regions,6396
2014-11,Number Of Air Passenger Arrivals,South East Asia,958791
2014-11,Number Of Air Passenger Arrivals,North East Asia,562732
2014-11,Number Of Air Passenger Arrivals,South Asia,186537
2014-11,Number Of Air Passenger Arrivals,Middle East,44470
2014-11,Number Of Air Passenger Arrivals,Oceania,218223
2014-11,Number Of Air Passenger Arrivals,Europe,141600
2014-11,Number Of Air Passenger Arrivals,North America,16877
2014-11,Number Of Air Passenger Arrivals,Other Regions,4898
2014-12,Number Of Air Passenger Arrivals,South East Asia,1119971
2014-12,Number Of Air Passenger Arrivals,North East Asia,650893
2014-12,Number Of Air Passenger Arrivals,South Asia,222342
2014-12,Number Of Air Passenger Arrivals,Middle East,68150
2014-12,Number Of Air Passenger Arrivals,Oceania,289440
2014-12,Number Of Air Passenger Arrivals,Europe,166306
2014-12,Number Of Air Passenger Arrivals,North America,23677
2014-12,Number Of Air Passenger Arrivals,Other Regions,8185
2015-01,Number Of Air Passenger Arrivals,South East Asia,967105
2015-01,Number Of Air Passenger Arrivals,North East Asia,558882
2015-01,Number Of Air Passenger Arrivals,South Asia,227222
2015-01,Number Of Air Passenger Arrivals,Middle East,62271
2015-01,Number Of Air Passenger Arrivals,Oceania,234013
2015-01,Number Of Air Passenger Arrivals,Europe,164955
2015-01,Number Of Air Passenger Arrivals,North America,21146
2015-01,Number Of Air Passenger Arrivals,Other Regions,7711
2015-02,Number Of Air Passenger Arrivals,South East Asia,853328
2015-02,Number Of Air Passenger Arrivals,North East Asia,577974
2015-02,Number Of Air Passenger Arrivals,South Asia,188972
2015-02,Number Of Air Passenger Arrivals,Middle East,50342
2015-02,Number Of Air Passenger Arrivals,Oceania,197163
2015-02,Number Of Air Passenger Arrivals,Europe,130526
2015-02,Number Of Air Passenger Arrivals,North America,15520
2015-02,Number Of Air Passenger Arrivals,Other Regions,4904
2015-03,Number Of Air Passenger Arrivals,South East Asia,1009477
2015-03,Number Of Air Passenger Arrivals,North East Asia,572423
2015-03,Number Of Air Passenger Arrivals,South Asia,198603
2015-03,Number Of Air Passenger Arrivals,Middle East,61343
2015-03,Number Of Air Passenger Arrivals,Oceania,226858
2015-03,Number Of Air Passenger Arrivals,Europe,143204
2015-03,Number Of Air Passenger Arrivals,North America,18817
2015-03,Number Of Air Passenger Arrivals,Other Regions,6442
2015-04,Number Of Air Passenger Arrivals,South East Asia,982628
2015-04,Number Of Air Passenger Arrivals,North East Asia,570384
2015-04,Number Of Air Passenger Arrivals,South Asia,197387
2015-04,Number Of Air Passenger Arrivals,Middle East,54470
2015-04,Number Of Air Passenger Arrivals,Oceania,223853
2015-04,Number Of Air Passenger Arrivals,Europe,129018
2015-04,Number Of Air Passenger Arrivals,North America,16150
2015-04,Number Of Air Passenger Arrivals,Other Regions,7551
2015-05,Number Of Air Passenger Arrivals,South East Asia,1007330
2015-05,Number Of Air Passenger Arrivals,North East Asia,531333
2015-05,Number Of Air Passenger Arrivals,South Asia,215569
2015-05,Number Of Air Passenger Arrivals,Middle East,53478
2015-05,Number Of Air Passenger Arrivals,Oceania,208845
2015-05,Number Of Air Passenger Arrivals,Europe,131312
2015-05,Number Of Air Passenger Arrivals,North America,23950
2015-05,Number Of Air Passenger Arrivals,Other Regions,5947
2015-06,Number Of Air Passenger Arrivals,South East Asia,1077826
